GLT;Male;Female;Obs1989;Obs1990;Obs1991;Obs1992;Obs1993;Obs1994;Obs1995;Obs1996;Obs1997;Obs1998;Obs1999;Obs2000;Obs2001;Obs2002;Obs2003;Obs2004;Obs2005;Obs2006;Obs2007
B1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B3;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R8;0;1;0;0;1;0;1;0;1;0;1;0;0;0;1;1;1;1;1;1;1
R9;1;0;0;0;1;0;1;0;1;1;0;1;1;0;1;1;1;1;1;1;1
SK1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
W1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
W7;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CM5;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LA7;1;0;0;0;0;1;0;3;1;0;1;1;0;0;0;0;0;0;0;0;0
LC3;1;0;0;0;0;1;1;1;0;2;0;2;0;0;1;1;1;0;0;0;0
O7;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SC;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
W10.1;1;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
W9;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
CA1;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0
CA2;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0
L5;0;1;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0
LA10;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
CA4;0;1;0;0;0;0;0;1;2;0;2;0;0;0;1;1;1;1;1;1;1
CA5;0;1;0;0;0;0;0;1;2;1;1;1;1;0;1;0;1;0;0;0;0
CB5;1;0;0;0;0;0;0;1;1;0;0;0;0;0;3;1;1;1;1;1;1
CB6;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0
CM10;1;0;0;0;0;0;0;1;2;2;0;0;0;0;1;1;1;0;0;0;0
CM12;0;1;0;0;0;0;0;1;1;1;0;2;0;0;1;1;1;0;0;0;0
CM6;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
CM9;1;0;0;0;0;0;0;1;2;1;1;1;0;0;0;0;0;0;0;0;0
LA11;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
LA12;0;1;0;0;0;0;0;1;1;1;1;0;0;3;1;1;1;1;1;1;1
LC6;1;0;0;0;0;0;0;1;0;2;2;0;0;0;1;1;1;1;1;1;1
RL1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
RL4;1;0;0;0;0;0;0;1;1;2;0;0;0;0;1;1;1;1;1;1;1
SK3;0;1;0;0;0;0;0;1;2;1;0;0;0;0;1;1;1;1;1;1;1
SK4;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0
W10;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;1;1;1;1;1
W12;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0
W14;0;1;0;0;0;0;0;1;3;1;1;0;0;0;0;0;0;0;0;0;0
W17;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
W18;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
CA9;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;1;1;1;1;1
CB9;0;1;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;0
CM11;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;1;1;1
CM13;0;1;0;0;0;0;0;0;1;3;1;1;0;0;1;1;1;1;1;1;1
CM14;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
LA15;1;0;0;0;0;0;0;0;1;2;0;0;0;0;1;1;1;1;1;1;0
LA16;1;0;0;0;0;0;0;0;1;2;2;0;0;0;1;1;1;1;1;1;0
LC1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0
LG1;0;1;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;1
