GLT;Obs2009;Obs2010;Obs2011;Obs2012;Obs2013;Obs2014;Obs2015;Obs2016;Obs2017;Obs2018;Obs2019;Obs2020;Obs2021;Obs2022
LA12;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MA14;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MP17;1;1;1;0;0;0;0;0;0;0;0;0;0;0
MP19;1;1;1;1;1;1;1;1;1;1;0;0;0;0
MP23;1;1;1;1;1;1;1;1;1;1;1;1;1;1
MP28;1;1;1;1;1;0;0;0;0;0;0;0;0;0
MP32;1;1;1;0;0;0;0;0;0;0;0;0;0;0
MP33;1;1;1;1;1;1;0;0;0;0;0;0;0;0
MP34;1;1;1;1;1;0;0;0;0;0;0;0;0;0
OL15;1;1;0;0;0;0;0;0;0;0;0;0;0;0
OL16;1;0;0;0;0;0;0;0;0;0;0;0;0;0
OL21;1;0;0;0;0;0;0;0;0;0;0;0;0;0
OL23;1;1;1;0;0;0;0;0;0;0;0;0;0;0
OL26;1;1;1;0;0;0;0;0;0;0;0;0;0;0
OL27;1;1;1;0;0;0;0;0;0;0;0;0;0;0
OL30;1;1;1;0;0;0;0;0;0;0;0;0;0;0
OL5;1;0;0;0;0;0;0;0;0;0;0;0;0;0
OL8;1;0;0;0;0;0;0;0;0;0;0;0;0;0
OL9;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI10;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI11;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI12;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI13;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI14;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI15;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI16;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI17;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI3.1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI6;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI7;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI8;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI9;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PR4;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PR8;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PR9;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PT4;1;1;1;0;0;0;0;0;0;0;0;0;0;0
PT5;1;0;0;0;0;0;0;0;0;0;0;0;0;0
