GLT;Obs2009;Obs2010;Obs2011;Obs2012;Obs2013;Obs2014;Obs2015;Obs2016;Obs2017;Obs2018;Obs2019;Obs2020;Obs2021;Obs2022
KN1;0;0;0;0;0;0;0;0;0;0;0;1;1;1
KN2;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MP207;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MP208;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MP209;0;0;0;0;0;0;0;0;0;0;0;1;2;1
MP212;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MP214;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MP215;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MP226;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MP277;0;0;0;0;0;0;0;0;0;0;0;1;2;1
MP285;0;0;0;0;0;0;0;0;0;0;0;1;2;1
UR2;0;0;0;0;0;0;0;0;0;0;0;1;1;0
FA40.1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
FA41;0;0;0;0;0;0;0;0;0;0;0;0;1;1
FA43;0;0;0;0;0;0;0;0;0;0;0;0;1;1
FP14;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP213.1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP228;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP229;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP232;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP233;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP279;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP298;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP299;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP318;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP327;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP328;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP331;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP332;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP333;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP354;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP355;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP356;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP358;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP362;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP363;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP364;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP367;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP368;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP369;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP370;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP383;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP384;0;0;0;0;0;0;0;0;0;0;0;0;1;1
UR3;0;0;0;0;0;0;0;0;0;0;0;0;1;1
UR7;0;0;0;0;0;0;0;0;0;0;0;0;1;0
FA45;0;0;0;0;0;0;0;0;0;0;0;0;0;1
FP18;0;0;0;0;0;0;0;0;0;0;0;0;0;1
FP19;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP278;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP454;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP458;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP459;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP460;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP461;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP467;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP468;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP469;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP471;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP472;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP473;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP474;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP475;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP476;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP478;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP479;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP480;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP481;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP482;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP487;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP488;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP493;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP494;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP495;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP499;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP500;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP502;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP503;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP504;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP505;0;0;0;0;0;0;0;0;0;0;0;0;0;1
QL4;0;0;0;0;0;0;0;0;0;0;0;0;0;1
QL5;0;0;0;0;0;0;0;0;0;0;0;0;0;1
QL6;0;0;0;0;0;0;0;0;0;0;0;0;0;1
UR8;0;0;0;0;0;0;0;0;0;0;0;0;0;1
UR9;0;0;0;0;0;0;0;0;0;0;0;0;0;1
