GLT;Male;Female;O2009;O2010;O2011;O2012;O2013;O2014;O2015;O2016;O2017;O2018;O2019;O2020;O2021;O2022
ST20;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
ST21;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
ST22;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
ST23;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
ST41;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
ST42;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
ST6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
TR1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
TR25;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
TR34;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
TR37;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
TR38;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
TR4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
TR6;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
TR9;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1114;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0
1126;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
986;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1
MP29;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0
MP35;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1
MP47;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1
MP54;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
PM55;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
1303;1;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
1311;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BE10;1;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
BE9;1;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
MP49;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1
MP50;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
MP51;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
MP52;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
MP53;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
MP61;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
MP62;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
MP65;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0
MP73;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
MP74;0;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0
MP83;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1320;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
1321;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
1332;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
MP20;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
MP21;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0
MP30;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
MP31;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
MP36;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
MP42;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
MP43;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
MP45;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
MP46;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
MP48;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1
MP58;0;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1
MP59;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
MP60;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0
MP66;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0
MP68;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1
1333;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
AF17;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0
AF19;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
MP40;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
MP80;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1
1313;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1342;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1343;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1350;0;1;0;0;0;0;0;1;1;1;1;1;1;1;0;0
1351;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1352;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0
1360;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0
Angela;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0
MP100;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP12;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0
MP124;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
MP133;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
MP134;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
MP136;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP138;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0
MP26;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP77;0;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0
MP89;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP94;0;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP98;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0
