GLT;Male;Female;O2009;O2010;O2011;O2012;O2013;O2014;O2015;O2016;O2017;O2018;O2019;O2020;O2021;O2022
JP1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
JP10;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
JP12;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
JP13;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0
JP14;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
JP5;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0
JP6;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
JP7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
JP8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
JP9;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
LA12;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MA14;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MP17;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
MP19;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
MP23;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
MP28;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0
MP32;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
MP33;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0
MP34;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0
OL15;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
OL16;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
OL21;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
OL23;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
OL26;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
OL27;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
OL30;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
OL5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
OL8;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
OL9;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI11;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI12;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI14;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI15;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI3.1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI8;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PR4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PR9;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PT4;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
PT5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PT7;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0
PT8;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0
RT15;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SD4;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0
SD6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SI10;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0
SI12;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
SI2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SI3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SI4;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0
SI5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SI7;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0
SI8;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
SI9;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SP12;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SP13;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
SP14;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
SP15;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
SP16;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0
SP2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
SP6;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
