GLT;Male;Female;O1989;O1990;O1991;O1992;O1993;O1994;O1995;O1996;O1997;O1998;O1999;O2000;O2001;O2002;O2003;O2004;O2005;O2006;O2007
MC1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1
MC2;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1
O19;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1
RL5;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0
RL6;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0
RL7;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0
SK10;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0
SK11;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1
WS1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1
WS2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1
CA15;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1
CA16;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1
CB18;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;0
CM19;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
LC14;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1
LG7;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1
MC3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1
MC5;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1
P3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
