GLT;Obs1989;Obs1990;Obs1991;Obs1992;Obs1993;Obs1994;Obs1995;Obs1996;Obs1997;Obs1998;Obs1999;Obs2000;Obs2001;Obs2002;Obs2003;Obs2004;Obs2005;Obs2006;Obs2007
W20;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;1
BK1;0;0;0;0;0;0;0;1;2;1;0;0;1;1;1;1;1;1;1
BK2;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;2;1;1
CM17;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
LA17;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
LA18;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
LA8;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;0;0
LA9;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0
LC9;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;2;1;1
RP2;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0
SE5;0;0;0;0;0;0;0;1;0;1;0;0;2;1;1;1;1;1;1
SE6;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1
SE7;0;0;0;0;0;0;0;1;0;1;0;0;2;1;1;1;1;1;2
SE9;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1
SK8;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0
CA12;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1
CA13;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1
CA14;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1
CM15;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1
CM16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CM20;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CM21;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1
CM22;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
LA21;0;0;0;0;0;0;0;0;1;1;1;2;2;1;1;1;1;1;1
LB1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0
LB2;0;0;0;0;0;0;0;0;1;1;0;0;2;1;1;1;1;1;1
LC11;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;2;1;1
LC12;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;2;1;1
MC1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1
MC2;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1
O19;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1
RL5;0;0;0;0;0;0;0;0;1;2;0;1;2;1;1;1;1;1;0
RL6;0;0;0;0;0;0;0;0;1;0;0;0;2;1;1;1;1;1;0
RL7;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0
SE3;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1
SK10;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0
SK11;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1
SK9;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
W21;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1
W23;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1
WS1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1
WS2;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1
CA15;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1
CA16;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1
CB18;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;0
CM19;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
LA23;0;0;0;0;0;0;0;0;0;1;1;0;2;1;1;1;1;2;1
LA24;0;0;0;0;0;0;0;0;0;1;1;2;1;1;1;1;1;2;1
LA25;0;0;0;0;0;0;0;0;0;1;1;0;2;1;1;1;1;2;1
LC14;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;2;1;1
LG7;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1
MC3;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1
MC5;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1
O15;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0
P3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
RP3;0;0;0;0;0;0;0;0;0;1;0;2;2;2;1;2;1;1;1
SE10;0;0;0;0;0;0;0;0;0;1;0;0;2;1;1;1;1;1;1
W13;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1
W24;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1
W26;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
LA28;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;1;1;1;1
LA29;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;1;0;0;0
LA30;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;1;2;1;1
LC16;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;2;1;1
LC18;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;2;1;1
LC19;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;2;1;1
O25;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1
RL10;0;0;0;0;0;0;0;0;0;0;1;1;2;1;2;1;1;1;1
RL8;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;2;1;1;1
RL9;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;1;1;1;1
CM18;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;1;1
DI1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
IN6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
IP1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;1;1
K13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
KL2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
KL4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
KS3;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0;0
LA34;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;1
LC20;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MC6;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MC7;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MC8;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
O21;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
SF1;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;1;1;0
SK13;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
SK14;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;1;1;1;1
SK15;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
BK6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
CA10;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CA11;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CA18;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CA19;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CA20;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CM23;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CM24;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CM25;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CM26;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CM27;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CM29;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
KL1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
KL3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
KL5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0
KS1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
KS2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
KS4;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;1;1
KS5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;1
KS6;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
LA33;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;1
LA36;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
LA37;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;1
LB3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0
LB4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;1
LB5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0
