Farm;Platform;Abreviation;City;CENTROIDE X UTM SAD69 23S;CENTROIDE Y UTM SAD69 23S;Fragment.Region
Rebio Uniao;Plataforma grupo Dublin;DU2;Rio das Ostras;807016;7517600;Rebio Uniao
St. do Eliel;Plataforma grupo Eliel;EL;Silva Jardim;761336;7496899;St. do Eliel
Faz. Rio Vermelho;Plataforma grupo Emmen;EM;Rio Bonito;748483;7485742;Faz. Rio Vermelho
Faz. Rio Vermelho;Plataforma grupo Emmen (2);EM2;Rio Bonito;748521;7485284;Faz. Rio Vermelho
Faz. Rio Vermelho;Plataforma grupo Emmen (3);EM3;Rio Bonito;748565;7485695;Faz. Rio Vermelho
Poco das Antas;Plataforma - Est (3);Estação;Silva Jardim;778805;7502074;Poco das Antas
Poco das Antas;Plataforma - Est (1);Estação1;Silva Jardim;779324;7502140;Poco das Antas
Faz. Estreito;Plataforma grupo ET;ET;Silva Jardim;761935;7497135;Faz. Estreito
Poco das Antas;Plataforma grupo EUC2;EUC2;Silva Jardim;778279;7506405;Poco das Antas
Faz. Boa Esperanca;NA;EX;NA;763127;7492230;Faz. Boa Esperanca
Faz. Nova Esperanca;Plataforma - NE;FA22;Silva Jardim;764129;7494838;Faz. Nova Esperanca
Faz. Nova Esperanca;Plataforma - FB;FB;Silva Jardim;765167;7494788;Faz. Nova Esperanca
Faz. Rio Vermelho;Plataforma grupo Folcon;FC;Rio Bonito;748737;7485187;Faz. Rio Vermelho
Faz. Afetiva;Plataforma - FP;FP;Silva Jardim;760222;7495014;Faz. Afetiva
Rebio Uniao;Plataforma grupo Funil;FU;Rio das Ostras;806534;7517497;Rebio Uniao
Rebio Uniao;Plataforma grupo Dublin;FU2;Rio das Ostras;806612;7517300;Rebio Uniao
Faz. Boa Esperanca;Plataforma grupo FX;FX;Silva Jardim;762731;7491974;Faz. Boa Esperanca
Faz. Nova Esperanca;Plataforma - GM;GM;Silva Jardim;764657;7494788;Faz. Nova Esperanca
Faz. Nova Esperanca;Plataforma - GM2;GM2;Silva Jardim;764631;7494983;Faz. Nova Esperanca
Faz. Nova Esperanca;Plataforma - GM3;GM3;Silva Jardim;764154;7494871;Faz. Nova Esperanca
Faz. Nova Esperanca;Plataforma - GM4;GM4;Silva Jardim;763701;7494412;Faz. Nova Esperanca
Faz. Nova Esperanca;Plataforma - GM5;GM5;Silva Jardim;763853;7494634;Faz. Nova Esperanca
Faz. Nova Esperanca;Plataforma - GM6;GM6;Silva Jardim;763853;7494474;Faz. Nova Esperanca
Faz. Nova Esperanca;Olataforma - GM7;GM7;Silva Jardim;764127;7494807;Faz. Nova Esperanca
Poco das Antas;Plataforma - GN;GN;Silva Jardim;777313;7505844;Poco das Antas
Faz. Igarape;Plataforma grupo Igarape;IG;Silva Jardim;776529;7508341;Faz. Igarape
Faz. Igarape;Plataforma -IG;IG2;Silva Jardim;776133;7508572;Faz. Igarape
Faz. Igarape;Plataforma grupo Iguape;IP;Silva Jardim;775026;7508717;Faz. Igarape
Faz. Sao Joao;Plataforma grupo Israel;IR;Silva Jardim;762256;7490526;Faz. Sao Joao
Faz. Rio Vermelho;Plataforma - RV/JB;JB;Rio Bonito;748153;7485267;Faz. Rio Vermelho
Sitio Joedi;Plataforma grupo Joedi;JD;Silva Jardim;776205;7508925;Sitio Joedi
Sitio Joedi;Plataforma grupo Joedi (2);JD2;Silva Jardim;776174;7508634;Sitio Joedi
Faz. Afetiva;Plataforma grupo Jorge Inicial;JG;Silva Jardim;760670;7494943;Faz. Afetiva
Faz. Cabana nova Conquista;Plataforma - JG;JG;Silva Jardim;765027;7495286;Faz. Cabana nova Conquista
Faz. Afetiva;Plataforma grupo Jorge (2);JG2;Silva Jardim;760287;7494952;Faz. Afetiva
Sitio 7 Jotas;Plataforma grupo JJ;JJ;Silva Jardim;763425;7500034;Sitio 7 Jotas
Faz. Rio Vermelho;Plataforma comum grupos CB5 e Stockholm;JQ;Rio Bonito;750708;7484360;Faz. Rio Vermelho
Faz. Igarape;Plataforma grupo Jersey no fundo de vale;JR;Silva Jardim;774240;7508618;Faz. Igarape
Faz. Igarape;Plataforma grupo JR2;JR2;Silva Jardim;774271;7508621;Faz. Igarape
Faz. Sta Helena;Plataforma - JR;JRSH;Silva Jardim;771330;7505536;Faz. Sta Helena
Faz. Sao Francisco;Plataforma grupo Skank (2);KS;Silva Jardim;775105;7508815;Faz. Sao Francisco
Faz. Sta Helena;NA;LA;NA;771180;7505522;Faz. Sta Helena
Faz. Sta Helena;Plataforma grupo LA2;LA2;Silva Jardim;771281;7505531;Faz. Sta Helena
Rebio Uniao;Plataforma grupo Luiza Brunet;LB;Rio das Ostras;806208;7515714;Rebio Uniao
Pirineus;Plataforma grupo LD;LD;Pirineus;753829;7511316;Pirineus
Faz. Igarape;Plataforma grupo Lincon;LI;Silva Jardim;774214;7509072;Faz. Igarape
Rebio Uniao;Plataforma grupo Lava Pe;LP;Rio das Ostras;804385;7517170;Rebio Uniao
Faz. Sta Helena;Plataforma grupo Lago Seco;LS;Silva Jardim;772094;7506000;Faz. Sta Helena
Faz. Sta Helena;Plataforma grupo Lago Seco (2);LS2;Silva Jardim;771839;7506141;Faz. Sta Helena
Faz. Rio Vermelho;Plataforma grupo Lixao;LX;Rio Bonito;750167;7483560;Faz. Rio Vermelho
Faz. Rio Vermelho;Plataforma grupo Marwell;MA;Rio Bonito;749813;7485541;Faz. Rio Vermelho
Faz. Igarape;Plataforma grupo Mario Barreto;MB;Silva Jardim;776475;7508663;Faz. Igarape
Fazenda Botanica Aguas Claras;Plataforma grupo MC;MC;Gaviões;751934;7507732;Fazenda Botanica Aguas Claras
Faz. Rio Vermelho;Plataforma grupo Mistura Fina;MF;Rio Bonito;748140;7485413;Faz. Rio Vermelho
Faz. Patis;Platafrma - MF;MF.1;Silva Jardim;746245;7499976;Faz. Patis
Faz. Rio Vermelho;Plataforma - MF2;MF2;Rio Bonito;748172;7485279;Faz. Rio Vermelho
Faz. Rio Vermelho;Plataforma grupo Milwaukee;ML;Rio Bonito;750959;7486058;Faz. Rio Vermelho
Faz. Rio Vermelho;Plataforma grupo Milwaukee2;ML2;Rio Bonito;750198;7485898;Faz. Rio Vermelho
Faz. Rio Vermelho;Plataforma grupo Meninos;MN;Rio Bonito;748930;7485146;Faz. Rio Vermelho
Faz. Mico Leao;Plataforma grupo MS;MS;Silva Jardim;753146;7508513;Faz. Mico Leao
Faz. Mico Leao;Plataforma grupo MS2;MS2;Gaviões;752751;7507289;Faz. Mico Leao
Faz. Sao Joao;Plataforma grupo Nikos;NI;Silva Jardim;771594;7502664;Faz. Sao Joao
Faz. Estreito;Plataforma grupo Olimpia;OL;Silva Jardim;762176;7496524;Faz. Estreito
Faz. Boa Esperanca;Plataforma grupo Olimpia2;OL2;Silva Jardim;764227;7494836;Faz. Boa Esperanca
Faz. Coqueiros;Plataforma grupo Omaha;OM;Silva Jardim;777117;7509434;Faz. Coqueiros
Faz. Rio Vermelho;Plataforma grupo Paulo Abreu;PA;Rio Bonito;749532;7485938;Faz. Rio Vermelho
Faz. Rio Vermelho;NA;PA2;NA;749697;7485837;Faz. Rio Vermelho
Faz. Boa Esperanca;Plataforma grupo Pindoba;PB;Silva Jardim;762798;7491860;Faz. Boa Esperanca
Faz. Boa Esperanca;Plataforma grupo Pindoba2;PB2;Silva Jardim;763122;7492399;Faz. Boa Esperanca
Poco das Antas;Plataforma grupo PA;PDA;Silva Jardim;777622;7506214;Poco das Antas
Poco das Antas;NA;PDA2;NA;777731;7506012;Poco das Antas
Faz. Sta Helena;Plataforma grupo Paulo Freire;PF;Silva Jardim;771473;7505772;Faz. Sta Helena
Faz. Afetiva;Plataforma - PH;PH;Silva Jardim;761113;7495758;Faz. Afetiva
Faz. Igarape;Plataforma - PH2 (3);PH2;Silva Jardim;776666;7508209;Faz. Igarape
Faz. Pacoty;Plataforma grupo Pacoti;PI;Silva Jardim;759852;7498136;Faz. Pacoty
Poco das Antas;Plataforma grupo POR;POR;Silva Jardim;777265;7504907;Poco das Antas
Poco das Antas;NA;POR2;NA;777210;7504812;Poco das Antas
Poco das Antas;Plataforma - POR3;POR3;Silva Jardim;777221;7504889;Poco das Antas
Sitio do Professor;Plataforma grupo Professor;PR;Silva Jardim;760539;7497537;Sitio do Professor
Faz. Rio Vermelho;Plataforma grupo Passagem;PSG;Rio Bonito;751256;7485403;Faz. Rio Vermelho
Faz. Cordeiros;Plataforma - PT;PT;Silva Jardim;758345;7497591;Faz. Cordeiros
St. Cisne Branco;Plataforma grupo PT6;PT6;Silva Jardim;759090;7497815;St. Cisne Branco
Sitio 4 Irmaos;Plataforma grupo Paiva;PV;Silva Jardim;778352;7509039;Sitio 4 Irmaos
Poco das Antas;Plataforma - QL;QL;Silva Jardim;775772;7506052;Poco das Antas
Sitio Recanto Preservar;NA;RC;NA;771494;7502072;Sitio Recanto Preservar
Faz. Igarape;Plataforma grupo Riverbanks;RI;Silva Jardim;776789;7508604;Faz. Igarape
Faz. Igarape;Plataforma grupo Riverbanks (2);RI2;Silva Jardim;776785;7508569;Faz. Igarape
Sitio Moria;Plataforma - RM;RM;Silva Jardim;765895;7497228;Sitio Moria
Faz. Rio Vermelho;Plataforma grupo Reintro;RT;Rio Bonito;748524;7485332;Faz. Rio Vermelho
Faz. Rio Vermelho;Plataforma grupo Rio Vermelho;RV;Rio Bonito;748422;7485075;Faz. Rio Vermelho
Faz. Rio Vermelho;Plataforma grupo Rio Vermelho (2);RV2;Rio Bonito;748197;7485314;Faz. Rio Vermelho
Faz. Rio Vermelho;Plataforma grupo Rio Vermelho (3);RV3;Rio Bonito;748253;7485183;Faz. Rio Vermelho
Rebio Uniao;Plataforma grupo Sede;SD;Rio das Ostras;804126;7517008;Rebio Uniao
Faz. Sao Francisco;Plataforma grupo Seatle;SE;Silva Jardim;775676;7509399;Faz. Sao Francisco
Faz. Sao Francisco;Plataforma grupo Seatle (2);SE2;Silva Jardim;775544;7508514;Faz. Sao Francisco
Faz. Sta Helena;Plataforma grupo Santa Helena;SH;Silva Jardim;771480;7505759;Faz. Sta Helena
Faz. Sta Helena 2;NA;SI;NA;767762;7497710;Faz. Sta Helena 2
Faz. Sta Helena 2;Plataforma grupo Sidnei2 (2);SI2;Silva Jardim;767886;7497685;Faz. Sta Helena 2
Faz. Tamarins;Plataforma - SI3;SI3;Silva Jardim;768089;7498133;Faz. Tamarins
Faz. Iguape;Plataforma grupo Silva Jardim;SJ;Silva Jardim;775221;7506496;Faz. Iguape
Faz. Iguape;NA;SK;NA;775096;7508739;Faz. Iguape
Faz. Igarape;Plataforma - SK3;SK3;Silva Jardim;774386;7508572;Faz. Igarape
Faz. Rio Vermelho;Plataforma grupo Salario;SL;Rio Bonito;751779;7486067;Faz. Rio Vermelho
Faz. Afetiva;Plataforma grupo Super;SP;Silva Jardim;760297;7494833;Faz. Afetiva
Faz. Afetiva;Plataforma grupo Super (2);SP2;Silva Jardim;760433;7494714;Faz. Afetiva
Rebio Uniao;Plataforma grupo Saquarema;SQ;Rio das Ostras;805651;7517583;Rebio Uniao
Rebio Uniao;Plataforma grupo Saquarema (2);SQ2;Rio das Ostras;805959;7517866;Rebio Uniao
Faz. Sta Helena;Plataforma - SS (2);SS;Silva Jardim;773002;7506643;Faz. Sta Helena
Faz. Rio Vermelho;Plataforma grupo Stockholm;ST;Rio Bonito;750338;7484551;Faz. Rio Vermelho
Faz. Rio Vermelho;Plataforma grupo Stockholm (2);ST2;Rio Bonito;750111;7484283;Faz. Rio Vermelho
Faz. Sta Helena 2;Plataforma grupo Tamarins;TM;Silva Jardim;767827;7498235;Faz. Sta Helena 2
Faz. Tamarins;Plataforma grupo Tamarins2;TMII;Silva Jardim;767988;7498391;Faz. Tamarins
Faz. Rio Vermelho;Plataforma grupo Triplets;TR;Rio Bonito;749499;7484456;Faz. Rio Vermelho
Faz. Rio Vermelho;Plataforma grupo TR13;TR13;Rio Bonito;748820;7484460;Faz. Rio Vermelho
Faz. Rio Vermelho;Plataforma grupo Triplets (2);TR2;Rio Bonito;748980;7484450;Faz. Rio Vermelho
Faz. Afetiva;Plataforma - UR;UR;Silva Jardim;760531;7494811;Faz. Afetiva
Faz. Afetiva; Plataforma - UR2;UR2;Silva Jardim;760947;7494613;Faz. Afetiva
Faz. Vale do Cedro;Plataforma grupo Vale do Cedro;VC;Silva Jardim;771959;7503945;Faz. Vale do Cedro
Faz. Bom Retiro;Plataforma grupo Wild Seattle;WS;Silva Jardim;778186;7514360;Faz. Bom Retiro
