Farm;Platform;Abreviation;City;CENTROIDE X UTM SAD69 23S;CENTROIDE Y UTM SAD69 23S;Fragment.Region
Faz. Afetiva;Plataforma grupo Afetiva;AF;Silva Jardim;760295;7494955;Faz. Afetiva
Faz. Afetiva;Plataforma - AF3;AF3;Silva Jardim;760304;7494942;Faz. Afetiva
Faz. Boa Esperanca;Plataforma grupo AF8;AF8;Silva Jardim;761195;7494295;Faz. Boa Esperanca
Faz. Afetiva;Plataforma - AF2;AFII;Silva Jardim;760539;7494754;Faz. Afetiva
Poco das Antas;Plataforma - AF;AFT;Silva Jardim;777270;7505718;Poco das Antas
Poco das Antas;Plataforma grupo AL;AL;Silva Jardim;777558;7506694;Poco das Antas
Faz. Vendaval;Plataforma grupo André Lima;AL1;Silva Jardim;761012;7492463;Faz. Vendaval
Faz. Rio Vermelho;Plataforma grupo Apenheul;AP;Rio Bonito;750310;7486225;Faz. Rio Vermelho
Faz. Rio Vermelho;Plataforma grupo Areal;AR;Rio Bonito;751330;7486141;Faz. Rio Vermelho
Faz. Rio Vermelho;Plataforma grupo Areal (2);AR2;Rio Bonito;751244;7486302;Faz. Rio Vermelho
St. das Andorinhas;Plataforma grupo Atlanta;AT;Silva Jardim;761883;7494870;St. das Andorinhas
Ataliba;Plataforma ;Ataliba;Silva Jardim;769996;7498197;Ataliba
Faz. Sta Helena 2;Plataforma grupo Alex;AX;Silva Jardim;767274;7497645;Faz. Sta Helena 2
Faz. Boa Esperanca;Plataforma grupo Alex2;AX2;Silva Jardim;763279;7492616;Faz. Boa Esperanca
Faz. Sta Barbara;Plataforma comum grupos Bira e Bira2;BI;Silva Jardim;775874;7507834;Faz. Sta Barbara
Pirineus;Plataforma grupo BJ;BJ;Pirineus;754695;7510796;Pirineus
Faz. Vale do Cedro;Plataforma grupo Brookfield;BK;Silva Jardim;771633;7504501;Faz. Vale do Cedro
Poco das Antas;Plataforma grupo BO2;BO2;Silva Jardim;777129;7505637;Poco das Antas
Faz. Cabana nova Conquista;Plataforma -BQ;BQ;Silva Jardim;765538;7501583;Faz. Cabana nova Conquista
Faz. Rio Vermelho;Plataforma grupo Beira Rio;BR;Rio Bonito;751732;7486119;Faz. Rio Vermelho
Faz. Sta Helena 2;Plataforma - BV;BV;Silva Jardim;766851;7497596;Faz. Sta Helena 2
Faz. 2 Irmaos;Plataforma grupo Cahoma;CA;Silva Jardim;773247;7507751;Faz. 2 Irmaos
Faz. 2 Irmaos;Plataforma grupo Cahoma2;CA2;Silva Jardim;774348;7507995;Faz. 2 Irmaos
Faz. Coqueiros;Plataforma grupo Columbia;CB;Silva Jardim;777446;7509902;Faz. Coqueiros
Faz. Coqueiros;Plataforma grupo Columbia2;CB2;Silva Jardim;777334;7510069;Faz. Coqueiros
Faz. Rio Vermelho;Plataforma grupo CB5;CB5;Rio Bonito;751021;7484587;Faz. Rio Vermelho
Faz. 2 Irmaos;Plataforma grupo CLA;CLA;Silva Jardim;774415;7508292;Faz. 2 Irmaos
Faz. 2 Irmaos;Plataforma - DI;DI;Silva Jardim;773967;7507949;Faz. 2 Irmaos
Faz. Rio Vermelho;Plataforma grupo Daniel;DN;Rio Bonito;751055;7485831;Faz. Rio Vermelho
Rebio Uniao;Plataforma grupo Dublin;DU;Rio das Ostras;806834;7517768;Rebio Uniao
