Group;MinYear;MaxYear;Duration;N;UMMPs;Farm;Long;Lat;Fragment.Region;To include
FX;2000;2009;9;25;Faz. Boa Esperanza;Faz. Boa Esperanca;762731;7491974;Faz. Boa Esperanca;1
RC;2016;2022;6;24;NA;Sitio Recanto Preservar;771494;7502072;Sitio Recanto Preservar;1
SH;2001;2022;21;24;Aldeia II;Faz. Sta Helena;771480;7505759;Faz. Sta Helena;1
BK2;1997;2007;10;22;NA;NA;NA;NA;NA;1
KS;1997;2007;10;22;Aldeia I;Faz. Sao Francisco;775105;7508815;Faz. Sao Francisco;1
LC1;1994;2007;13;22;NA;NA;NA;NA;NA;1
VC;2001;2007;6;22;Aldeia II;Faz. Vale do Cedro;771959;7503945;Faz. Vale do Cedro;1
Z;1990;2007;17;22;NA;NA;NA;NA;NA;1
JR2;1996;2007;11;21;Aldeia I;Faz. Igarape;774271;7508621;Faz. Igarape;1
PH;2017;2022;5;21;Imbau I;Faz. Afetiva;761113;7495758;Faz. Afetiva;1
RL4;1995;2007;12;21;NA;NA;NA;NA;NA;1
SA;1992;2009;17;21;NA;NA;NA;NA;NA;1
UR;2017;2022;5;21;Imbau II;Faz. Afetiva;760531;7494811;Faz. Afetiva;1
FP;2016;2022;6;20;Imbau II;Faz. Afetiva;760222;7495014;Faz. Afetiva;1
ST2;1999;2007;8;20;Rio Vermelho;Faz. Rio Vermelho;750111;7484283;Faz. Rio Vermelho;1
NA;2013;2018;5;20;NA;NA;NA;NA;NA;1
DN;2003;2009;6;19;Rio Vermelho;Faz. Rio Vermelho;751055;7485831;Faz. Rio Vermelho;1
MN;2001;2007;6;19;Rio Vermelho;Faz. Rio Vermelho;748930;7485146;Faz. Rio Vermelho;1
WS;1995;2007;12;19;Aldeia I;Faz. Bom Retiro;778186;7514360;Faz. Bom Retiro;1
AR;2003;2009;6;18;Rio Vermelho;Faz. Rio Vermelho;751330;7486141;Faz. Rio Vermelho;1
BC;1990;2006;16;18;NA;NA;NA;NA;NA;1
EM2;2001;2007;6;18;Rio Vermelho;Faz. Rio Vermelho;748521;7485284;Faz. Rio Vermelho;1
ET;2001;2007;6;18;Imbau I;Faz. Estreito;761935;7497135;Faz. Estreito;1
IG;1998;2022;24;18;Aldeia I;Faz. Igarape;776529;7508341;Faz. Igarape;1
IG2;2003;2022;19;18;Aldeia I;Faz. Igarape;776133;7508572;Faz. Igarape;1
JD2;2001;2007;6;18;Aldeia I;Sitio Joedi;776174;7508634;Sitio Joedi;1
LX;2000;2007;7;18;Rio Vermelho;Faz. Rio Vermelho;750167;7483560;Faz. Rio Vermelho;1
PH2;2017;2022;5;18;Aldeia I;Faz. Igarape;776666;7508209;Faz. Igarape;1
TR13;2001;2007;6;18;Rio Vermelho;Faz. Rio Vermelho;748820;7484460;Faz. Rio Vermelho;1
BC2;1990;2006;16;17;NA;NA;NA;NA;NA;1
CB5;2001;2007;6;17;Rio Vermelho;Faz. Rio Vermelho;751021;7484587;Faz. Rio Vermelho;1
ET2;2001;2007;6;17;NA;NA;NA;NA;NA;1
PF;2001;2007;6;17;Aldeia II;Faz. Sta Helena;771473;7505772;Faz. Sta Helena;1
PR2;2001;2007;6;17;NA;NA;NA;NA;NA;1
RT1;1994;2006;12;17;NA;NA;NA;NA;NA;1
RVII;2001;2022;21;17;NA;NA;NA;NA;NA;1
SID-3;2018;2022;4;17;NA;NA;NA;NA;NA;1
AL1;2001;2005;4;16;Faz. Boa Esperanza;Faz. Vendaval;761012;7492463;Faz. Vendaval;1
JJ;2002;2007;5;16;Imbau I;Sitio 7 Jotas;763425;7500034;Sitio 7 Jotas;1
MA15;2001;2007;6;16;NA;NA;NA;NA;NA;1
RS;2000;2007;7;16;NA;NA;NA;NA;NA;1
UR2;2019;2022;3;16;Imbau II;Faz. Afetiva;760947;7494613;Faz. Afetiva;1
Ataliba;2019;2022;3;15;Poco das Antas;Ataliba;769996;7498197;Ataliba;1
BB;1996;2006;10;15;NA;NA;NA;NA;NA;1
DI;2019;2022;3;15;Aldeia I;Faz. 2 Irmaos;773967;7507949;Faz. 2 Irmaos;1
FG2;2013;2016;3;15;NA;NA;NA;NA;NA;1
POR2;2013;2016;3;15;Poco das Antas;Poco das Antas;777210;7504812;Poco das Antas;1
PSG;2003;2022;19;15;Rio Vermelho;Faz. Rio Vermelho;751256;7485403;Faz. Rio Vermelho;1
PV;2001;2007;6;15;NA;Sitio 4 Irmaos;778352;7509039;Sitio 4 Irmaos;1
RL2;1995;2006;11;15;NA;NA;NA;NA;NA;1
RM;2019;2022;3;15;Imbau I;Sitio Moria;765895;7497228;Sitio Moria;1
SK3;2019;2022;3;15;Aldeia I;Faz. Igarape;774386;7508572;Faz. Igarape;1
SL;2002;2007;5;15;Rio Vermelho;Faz. Rio Vermelho;751779;7486067;Faz. Rio Vermelho;1
BR;2003;2007;4;14;Rio Vermelho;Faz. Rio Vermelho;751732;7486119;Faz. Rio Vermelho;1
IP2;2003;2007;4;14;NA;NA;NA;NA;NA;1
IR;2004;2009;5;14;Faz. Boa Esperanza;Faz. Sao Joao;762256;7490526;Faz. Sao Joao;1
MB;2003;2007;4;14;Aldeia I;Faz. Igarape;776475;7508663;Faz. Igarape;1
MF2/RV;2019;2022;3;14;NA;NA;NA;NA;NA;1
TM;2006;2020;14;14;Imbau I;Faz. Sta Helena 2;767827;7498235;Faz. Sta Helena 2;1
C.O;2014;2016;2;13;NA;NA;NA;NA;NA;1
JG2;2001;2007;6;13;Imbau II;Faz. Afetiva;760287;7494952;Faz. Afetiva;1
LB2;2019;2022;3;13;NA;NA;NA;NA;NA;1
MM;2003;2007;4;13;NA;NA;NA;NA;NA;1
QL;2019;2022;3;13;Poco das Antas;Poco das Antas;775772;7506052;Poco das Antas;1
TT;2001;2006;5;13;NA;NA;NA;NA;NA;1
AS9;2003;2007;4;12;NA;NA;NA;NA;NA;1
BV;2007;2022;15;12;Imbau I;Faz. Sta Helena 2;766851;7497596;Faz. Sta Helena 2;1
GM;2005;2009;4;12;Imbau III;Faz. Nova Esperanca;764657;7494788;Faz. Nova Esperanca;1
KN;2020;2022;2;12;NA;NA;NA;NA;NA;1
MF;2006;2015;9;12;Rio Vermelho;Faz. Rio Vermelho;748140;7485413;Faz. Rio Vermelho;1
MK;2003;2007;4;12;NA;NA;NA;NA;NA;1
BQ;2004;2007;3;11;Imbau I;Faz. Cabana nova Conquista;765538;7501583;Faz. Cabana nova Conquista;1
FN;2020;2022;2;11;NA;NA;NA;NA;NA;1
RI2;2003;2007;4;11;Aldeia I;Faz. Igarape;776785;7508569;Faz. Igarape;1
RTII;2009;2022;13;11;NA;NA;NA;NA;NA;1
SF;2001;2007;6;11;NA;NA;NA;NA;NA;1
SL2;2003;2005;2;11;NA;NA;NA;NA;NA;1
FB;2021;2022;1;10;Imbau III;Faz. Nova Esperanca;765167;7494788;Faz. Nova Esperanca;1
FPIII;2021;2022;1;10;NA;NA;NA;NA;NA;1
GM2;2021;2022;1;10;Imbau III;Faz. Nova Esperanca;764631;7494983;Faz. Nova Esperanca;1
