"Group";"MinYear";"MaxYear";"Duration";"N";"UMMPs";"Farm";"Long";"Lat";"Fragment.Region"
"KS";1997;2007;10;22;"Aldeia I";"Sao Francisco";775105;7508815;"Sao Francisco Coqueiros"
"LC1";1994;2007;13;22;NA;NA;NA;NA;NA
"SID-3";2018;2022;4;22;NA;NA;NA;NA;NA
"VC";2001;2007;6;22;"Aldeia II";"Vale do Cedro";771959;7503945;"Vale do Cedro VC"
"Z";1990;2007;17;22;NA;NA;NA;NA;NA
"JR2";1996;2007;11;21;"Aldeia I";"Iguape";774271;7508621;"Iguape"
"RL4";1995;2007;12;21;NA;NA;NA;NA;NA
"RVII";2001;2022;21;21;NA;NA;NA;NA;NA
"SA";1992;2009;17;21;NA;NA;NA;NA;NA
"UR2";2019;2022;3;21;"Imbau II";"Fazenda Afetiva";760947;7494613;"Afetiva"
"Ataliba";2019;2022;3;20;"Poco das Antas";"Ataliba";769996;7498197;"Ataliba"
"DI";2019;2022;3;20;"Aldeia I";"Dois Irmaos";773967;7507949;"Dois Irmaos"
"POR2";2013;2016;3;20;NA;NA;NA;NA;NA
"RM";2019;2022;3;20;"Imbau I";"Sitio Moria";765895;7497228;"Sitio Moriá"
"SK3";2019;2022;3;20;"Aldeia I";"Iguape";774386;7508572;"Iguape"
"ST2";1999;2007;8;20;"Rio Vermelho";"Rio Vermelho";750111;7484283;"Rio Vermelho"
"DN";2003;2009;6;19;"Rio Vermelho";"Rio Vermelho";751055;7485831;"Rio Vermelho"
"MF2/RV";2019;2022;3;19;NA;NA;NA;NA;NA
"MN";2001;2007;6;19;"Rio Vermelho";"Rio Vermelho";748930;7485146;"Rio Vermelho"
"WS";1995;2007;12;19;"Aldeia I";"Bom Retiro";778186;7514360;"Bom Retiro"
"AR";2003;2009;6;18;"Rio Vermelho";"Rio Vermelho";751330;7486141;"Rio Vermelho"
"BC";1990;2006;16;18;NA;NA;NA;NA;NA
"EM2";2001;2007;6;18;"Rio Vermelho";"Rio Vermelho";748521;7485284;"Rio Vermelho"
"ET";2001;2007;6;18;"Imbau I";"Estreito";761935;7497135;"Sitio do Professor Estreito"
"IG2";2003;2022;19;18;"Aldeia I";"Igarape";776133;7508572;"Sio Tertulio"
"JD2";2001;2007;6;18;"Aldeia I";"Joedi";776174;7508634;"Joedi JD(2)"
"LB2";2019;2022;3;18;NA;NA;NA;NA;NA
"LX";2000;2007;7;18;"Rio Vermelho";"Rio Vermelho";750167;7483560;"Rio Vermelho"
"QL";2019;2022;3;18;"Poco das Antas";"Sitio Quelinho";775772;7506052;"Sitio Quelinho"
"TR13";2001;2007;6;18;"Rio Vermelho";"Rio Vermelho";748820;7484460;"Rio Vermelho"
"BC2";1990;2006;16;17;NA;NA;NA;NA;NA
"CB5";2001;2007;6;17;"Rio Vermelho";"Rio Vermelho";751021;7484587;"Rio Vermelho"
"ET2";2001;2007;6;17;NA;NA;NA;NA;NA
"KN";2020;2022;2;17;NA;NA;NA;NA;NA
"PF";2001;2007;6;17;"Aldeia II";"Santa Helena";771473;7505772;"Vale do Cedro Santa Helena"
"PR2";2001;2007;6;17;NA;NA;NA;NA;NA
"RT1";1994;2006;12;17;NA;NA;NA;NA;NA
"AL1";2001;2005;4;16;"Vendaval";"Vendaval";761012;7492463;"Vendaval"
"C.O";2014;2016;2;16;NA;NA;NA;NA;NA
"JJ";2002;2007;5;16;"Imbau I";"Sete Jotas";763425;7500034;"Pacoti Sete Jotas"
"MA15";2001;2007;6;16;NA;NA;NA;NA;NA
"PSG";2003;2022;19;16;"Rio Vermelho";"Rio Vermelho";751256;7485403;"Rio Vermelho"
"RS";2000;2007;7;16;NA;NA;NA;NA;NA
"TM";2006;2020;14;16;"Imbau I";"Santa Helena II";767827;7498235;"Santa Helena II"
"BB";1996;2006;10;15;NA;NA;NA;NA;NA
"FN";2020;2022;2;15;NA;NA;NA;NA;NA
"PA2";2002;2014;12;15;NA;NA;NA;NA;NA
"PV";2001;2007;6;15;NA;"Paiva";778352;7509039;"Paiva"
"RL2";1995;2006;11;15;NA;NA;NA;NA;NA
"SL";2002;2007;5;15;"Rio Vermelho";"Rio Vermelho";751779;7486067;"Rio Vermelho"
"BR";2003;2007;4;14;"Rio Vermelho";"Rio Vermelho";751732;7486119;"Rio Vermelho"
"FB";2021;2022;1;14;"Imbau III";"Fazenda Nova Esperança";765167;7494788;"Nova Esperança"
"FPIII";2021;2022;1;14;NA;NA;NA;NA;NA
"GM2";2021;2022;1;14;"Imbau III";"Fazenda Nova Esperança";764631;7494983;"Nova Esperança"
"GM3";2021;2022;1;14;"Imbau III";"Fazenda Nova Esperança";764154;7494871;"Nova Esperança"
"GM4";2021;2022;1;14;"Imbau III";"Fazenda Nova Esperança";763701;7494412;"Nova Esperança"
"GM5";2021;2022;1;14;"Imbau III";"Fazenda Nova Esperança";763853;7494634;"Nova Esperança"
"IP2";2003;2007;4;14;NA;NA;NA;NA;NA
"IR";2004;2009;5;14;"Boa Esperanca";"Sao Joao";762256;7490526;"Sao Joao"
"JA";2021;2022;1;14;NA;NA;NA;NA;NA
"MB";2003;2007;4;14;"Aldeia I";"Igarape";776475;7508663;"Igarape"
"MF3";2021;2022;1;14;NA;NA;NA;NA;NA
"NE";2021;2022;1;14;NA;NA;NA;NA;NA
"SQII";2021;2022;1;14;NA;NA;NA;NA;NA
"SSII";2021;2022;1;14;NA;NA;NA;NA;NA
"XT2";2012;2013;1;14;NA;NA;NA;NA;NA
"BV";2007;2022;15;13;"Imbau I";"Fazenda Sta Helena 2";766851;7497596;"Santa Helena 2"
"JG2";2001;2007;6;13;"Imbau II";"Afetiva";760287;7494952;"Afetiva"
"MM";2003;2007;4;13;NA;NA;NA;NA;NA
"SI3";2021;2022;1;13;"Imbau I";"Fazenda Tamarins";768089;7498133;"Tamarins"
"TT";2001;2006;5;13;NA;NA;NA;NA;NA
"AS9";2003;2007;4;12;NA;NA;NA;NA;NA
"BU";1990;2016;26;12;NA;NA;NA;NA;NA
"GM";2005;2009;4;12;"Imbau III";"Fazenda Nova Esperança";764657;7494788;"Nova Esperança"
"MK";2003;2007;4;12;NA;NA;NA;NA;NA
"POR3";2014;2016;2;12;"Poco das Antas";"PDA";777221;7504889;"PDA"
"RTII";2009;2022;13;12;NA;NA;NA;NA;NA
"TM3";2021;2022;1;12;NA;NA;NA;NA;NA
"AF19";2014;2016;2;11;NA;NA;NA;NA;NA
"BQ";2004;2007;3;11;"Imbau I";"Cabana Nova Conquista";765538;7501583;"Cabanã Nova Conquista"
"JQ";2021;2022;1;11;"Rio Vermelho";"Rio Vermelho";750708;7484360;"Rio Vermelho"
"RI2";2003;2007;4;11;"Aldeia I";"Igarape";776785;7508569;"Igarape"
"SF";2001;2007;6;11;NA;NA;NA;NA;NA
"SL2";2003;2005;2;11;NA;NA;NA;NA;NA
"CH2";2021;2022;1;10;NA;NA;NA;NA;NA
"GM7";2021;2022;1;10;"Imbau III";"Fazenda Nona Esperança";764127;7494807;"Nova Esperança"
"GM8";2021;2022;1;10;NA;NA;NA;NA;NA
"OM2";2003;2007;4;10;NA;NA;NA;NA;NA
"PB";2005;2009;4;10;"Boa Esperanca";"Boa Esperanca";762798;7491860;"Boa Esperanca"
"XP";2009;2011;2;10;NA;NA;NA;NA;NA
"AF8";2007;2011;4;9;"Imbau III";"Boa Esperanca";761195;7494295;"Nova Esperanca AF8"
"BI";2004;2007;3;9;NA;"Santa Barbara";775874;7507834;"Santa Barbara"
"DU2";2012;2013;1;8;NA;NA;NA;NA;NA
"LS";2004;2007;3;8;"Aldeia II";"Santa Helena";772094;7506000;"Vale do Cedro Santa Helena"
"LS2";2021;2022;1;8;"Aldeia II";"Santa Helena";771839;7506141;"Vale do Cedro Santa Helena"
"MD";2006;2009;3;8;NA;NA;NA;NA;NA
"PJ";2004;2007;3;8;NA;NA;NA;NA;NA
"RM2";2021;2022;1;8;NA;NA;NA;NA;NA
"BI2";2004;2007;3;7;NA;NA;NA;NA;NA
"DI2";2021;2022;1;7;NA;NA;NA;NA;NA
"EUC2";2009;2010;1;7;"Poco das Antas";"Rebio PDA";778279;7506405;"Rebio Poço das Antas"
"OL2";2005;2009;4;7;"Imbau III";"Boa Esperanca";764227;7494836;"Nova Esperanca OL2"
"SH2";2004;2007;3;7;NA;NA;NA;NA;NA
"E21";2005;2007;2;6;NA;NA;NA;NA;NA
"GM9";2021;2022;1;6;NA;NA;NA;NA;NA
"LD";2011;2011;0;6;"Pirineus";"Sitio Boa Vista";753829;7511316;"Sitio Boa Vista"
"PB2";2006;2009;3;6;"Boa Esperanca";"Boa Esperanca";763122;7492399;"Boa Esperanca PB2"
"Sta Fe";2007;2009;2;6;NA;NA;NA;NA;NA
"BB2";2004;2006;2;5;NA;NA;NA;NA;NA
"GM10";2022;2022;0;5;NA;NA;NA;NA;NA
"IPE";2022;2022;0;5;NA;NA;NA;NA;NA
"LB4";2022;2022;0;5;NA;NA;NA;NA;NA
"OL18";2005;2007;2;5;NA;NA;NA;NA;NA
"PF2";2004;2007;3;5;NA;NA;NA;NA;NA
"SS3";2022;2022;0;5;NA;NA;NA;NA;NA
"CLA2";2005;2007;2;4;NA;NA;NA;NA;NA
"EL";2007;2009;2;4;"Imbau I";"Eliel";761336;7496899;"Sitio do Professor Estreito"
"FA22";2018;2019;1;4;"Imbau III";"Fazenda Nova Esperança";764129;7494838;"Nova Esperança"
"Foo";2013;2013;0;4;NA;NA;NA;NA;NA
"Fusao";2009;2009;0;4;NA;NA;NA;NA;NA
"Jaguar";2007;2009;2;4;NA;NA;NA;NA;NA
"RS2";2007;2007;0;4;NA;NA;NA;NA;NA
"SS2";2005;2007;2;4;NA;NA;NA;NA;NA
"ST10";2001;2003;2;4;NA;NA;NA;NA;NA
"AT2";2004;2005;1;3;NA;NA;NA;NA;NA
"FA12";2016;2016;0;3;NA;NA;NA;NA;NA
"FN2";2022;2022;0;3;NA;NA;NA;NA;NA
"GN";2017;2019;2;3;"Poco das Antas";"PDA";777313;7505844;"PDA"
"LB3";2022;2022;0;3;NA;NA;NA;NA;NA
"LB9";2022;2022;0;3;NA;NA;NA;NA;NA
"MB2";2007;2007;0;3;NA;NA;NA;NA;NA
"MR";2009;2009;0;3;NA;NA;NA;NA;NA
"SS1";2022;2022;0;3;NA;NA;NA;NA;NA
"AX3";2007;2007;0;2;NA;NA;NA;NA;NA
"DC";1993;1995;2;2;NA;NA;NA;NA;NA
"FA16";2017;2017;0;2;NA;NA;NA;NA;NA
"FPII";2020;2020;0;2;NA;NA;NA;NA;NA
"FU2";2013;2013;0;2;NA;NA;NA;NA;NA
"PE";1996;1998;2;2;NA;NA;NA;NA;NA
"PSG2";2022;2022;0;2;NA;NA;NA;NA;NA
"RL24";2006;2007;1;2;NA;NA;NA;NA;NA
"ST3";2005;2005;0;2;NA;NA;NA;NA;NA
"TR12";2001;2001;0;2;NA;NA;NA;NA;NA
"TRII";2009;2009;0;2;NA;NA;NA;NA;NA
"AXII";2006;2006;0;1;NA;NA;NA;NA;NA
"CB";1998;1998;0;1;"Aldeia I";"Coqueiros";777446;7509902;"Sao Francisco Coqueiros"
"CB6";2000;2000;0;1;NA;NA;NA;NA;NA
"IG2.2";2022;2022;0;1;NA;NA;NA;NA;NA
"JM";2022;2022;0;1;NA;NA;NA;NA;NA
"JM2";2022;2022;0;1;NA;NA;NA;NA;NA
"JU";2022;2022;0;1;NA;NA;NA;NA;NA
"OD";2022;2022;0;1;NA;NA;NA;NA;NA
"PT2";2022;2022;0;1;NA;NA;NA;NA;NA
"PT3";2022;2022;0;1;NA;NA;NA;NA;NA
"SEII";1998;1998;0;1;NA;NA;NA;NA;NA
"SP3";2006;2006;0;1;NA;NA;NA;NA;NA
"TB";2022;2022;0;1;NA;NA;NA;NA;NA
"Viveiro";1996;1996;0;1;NA;NA;NA;NA;NA
"ZM";2022;2022;0;1;NA;NA;NA;NA;NA
"ZN";2022;2022;0;1;NA;NA;NA;NA;NA
"soz.";1998;1998;0;1;NA;NA;NA;NA;NA
NA;2018;2018;0;1;NA;NA;NA;NA;NA
